match_id,timestamp,player_champion,opponent_champion,total_cs,opponent_total_cs,cs_per_min,gold_diff,first_10_min_cs,opponent_first_10_min_cs,win,player_cs_timeline,opponent_cs_timeline
EUW1_6869194881,2024-03-24T02:49:11.038000,Jax,Sejuani,158,150,5.848241826033313,-844,65,51,False,"0,0,3,15,20,28,35,48,53,56,65,70,80,90,98","0,0,1,7,19,28,30,36,37,44,51,57,66,75,86"
EUW1_6868146148,2024-03-23T15:45:06.031000,Malphite,Trundle,263,183,9.185098952270081,2844,64,64,True,"0,0,1,8,18,23,32,41,47,53,64,75,84,93,106","0,0,1,16,17,29,36,39,50,61,64,64,70,74,77"
EUW1_6868146148,2024-03-23T15:45:06.031000,Trundle,Malphite,183,263,6.391152502910361,-2844,64,64,False,"0,0,1,16,17,29,36,39,50,61,64,64,70,74,77","0,0,1,8,18,23,32,41,47,53,64,75,84,93,106"
EUW1_6868099866,2024-03-23T15:13:27.203000,Udyr,Trundle,113,118,4.365743721828719,-4433,51,58,False,"0,0,1,3,14,21,26,32,36,44,51,56,68,74,76","0,0,2,16,19,25,35,41,43,54,58,64,69,78,87"
EUW1_6868099866,2024-03-23T15:13:27.203000,Trundle,Udyr,118,113,4.558918222794591,4433,58,51,True,"0,0,2,16,19,25,35,41,43,54,58,64,69,78,87","0,0,1,3,14,21,26,32,36,44,51,56,68,74,76"
EUW1_7373635749,2025-04-19T02:17:32.690000,Vladimir,Mordekaiser,187,173,6.763110307414105,3217,77,61,False,"0,0,4,17,26,39,50,58,65,74,77,83,85,92,92","0,0,4,9,15,23,28,34,47,56,61,67,79,89,89"
EUW1_7373635749,2025-04-19T02:17:32.690000,Mordekaiser,Vladimir,173,187,6.256781193490054,-3217,61,77,True,"0,0,4,9,15,23,28,34,47,56,61,67,79,89,89","0,0,4,17,26,39,50,58,65,74,77,83,85,92,92"
EUW1_7372501752,2025-04-18T03:06:28.917000,Nasus,Jax,125,129,5.690440060698028,2134,50,61,True,"0,0,2,11,17,25,37,41,41,42,50,56,65,71,82","0,0,2,12,15,29,34,46,46,58,61,77,81,97,98"
EUW1_7372501752,2025-04-18T03:06:28.917000,Jax,Nasus,129,125,5.872534142640364,-2134,61,50,False,"0,0,2,12,15,29,34,46,46,58,61,77,81,97,98","0,0,2,11,17,25,37,41,41,42,50,56,65,71,82"
EUW1_7371439620,2025-04-17T05:05:01.982000,DrMundo,Teemo,237,203,6.537931034482758,-281,65,62,False,"0,0,3,10,16,21,31,36,47,53,65,71,83,93,97","0,0,4,12,21,30,36,45,51,58,62,73,73,73,80"
